"Title","Year","Rated","Released","Runtime","Genre","Director","Writer","Actors","Plot","Language","Country","Awards","Poster","Metascore","imdbRating","imdbVotes","imdbID","Type","DVD","BoxOffice","Production","Website","Response","totalSeasons"
"Nausicaä of the Valley of the Wind","1984","PG","25 Nov 1987","117 min","Animation, Adventure, Fantasy, Sci-Fi","Hayao Miyazaki","Hayao Miyazaki (based on the manga by), Hayao Miyazaki (screenplay by), Cindy Davis (english language adaptation), Donald H. Hewitt (english language adaptation)","Sumi Shimamoto, Mahito Tsujimura, Hisako Kyôda, Gorô Naya","Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.","Japanese","Japan, USA","3 wins & 1 nomination.","https://m.media-amazon.com/images/M/MV5BZWFkN2ZhODAtYTNkZS00Y2NjLWIzNDYtNzJjNDNlMzAyNTIyXkEyXkFqcGdeQXVyODEzNjM5OTQ@._V1_SX300.jpg","86","8.1","138,779","tt0087544","movie","22 Feb 2005","N/A","Starmaker Entertainment","N/A","True",NULL
"My Neighbors the Yamadas","1999","PG","22 Dec 2000","104 min","Animation, Comedy, Family","Isao Takahata","Hisaichi Ishii (based on the comic strip by), Isao Takahata (screenplay), Leo Chu (English language adaptation), Eric Garcia (English language adaptation)","Yukiji Asaoka, Tôru Masuoka, Masako Araki, Hayato Isohata","The life and misadventures of a family in contemporary Japan.","Japanese","Japan","N/A","https://m.media-amazon.com/images/M/MV5BOThkZjMyMGYtMDNjNy00NjcwLTk1NmEtZmQwYTliMmM4YjBhXkEyXkFqcGdeQXVyMzM4NjcxOTc@._V1_SX300.jpg","75","7.2","9,966","tt0206013","movie","16 Aug 2005","N/A","N/A","N/A","True",NULL
"The Angry Birds Movie 2","2019","PG","14 Aug 2019","97 min","Animation, Adventure, Comedy, Family","Thurop Van Orman, John Rice(co-director)","Peter Ackerman (screenplay by), Eyal Podell (screenplay by), Jonathon E. Stewart (screenplay by)","Jason Sudeikis, Josh Gad, Leslie Jones, Bill Hader","The flightless birds and scheming green pigs take their feud to the next level.","English","Finland, USA","4 nominations.","https://m.media-amazon.com/images/M/MV5BYzdkNGJhNzQtMjY1OC00MDI3LTk0ZDUtNzU0MGZiY2YwZGUxXkEyXkFqcGdeQXVyNzMxNjQxMTk@._V1_SX300.jpg","60","6.4","16,267","tt6095472","movie","29 Oct 2019","N/A","Columbia Pictures","N/A","True",NULL
"Psycho-Pass: Sinners of the System Case 1 Crime and Punishment","2019","N/A","25 Jan 2019","60 min","Animation, Action, Crime, Sci-Fi","Naoyoshi Shiotani","Ryo Yoshigami","Kana Hanazawa, Shizuka Itô, Kenji Nojima, Ayane Sakura","A runaway vehicle crashes into the Public Safety Bureau Building. The driver is identified as Izumi Yasaka, a psychological counselor at the Sanctuary, a Latent Criminal Isolation Facility ...","English","Japan","N/A","https://m.media-amazon.com/images/M/MV5BMzk2ZWM5OGYtMzBiOS00MWJhLTllZjAtNmYxZDQzYmZkYWQ1XkEyXkFqcGdeQXVyNjczODM4MTc@._V1_SX300.jpg","N/A","6.6","178","tt10443844","movie","N/A","N/A","N/A","N/A","True",NULL
"Green Card","1990","PG-13","01 Feb 1991","107 min","Comedy, Drama, Romance","Peter Weir","Peter Weir","Gérard Depardieu, Andie MacDowell, Bebe Neuwirth, Gregg Edelman","A man wanting to stay in the US enters into a marriage of convenience, but it turns into more than that.","English, French, Spanish","France, Australia, USA","Nominated for 1 Oscar. Another 3 wins & 3 nominations.","https://m.media-amazon.com/images/M/MV5BMTNjZjQ3MTYtNTdhMS00MDRhLThjMjItMmQ3MzJkMjMyODg5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg","58","6.2","21,666","tt0099699","movie","04 Mar 2003","N/A","Touchstone Pictures","N/A","True",NULL
"Bungo Stray Dogs: Dead Apple","2018","N/A","02 May 2018","90 min","Animation","Takuya Igarashi","N/A","Brian Beacock, Ray Chase, Lucien Dodge, Carrie Keranen","Rivalry between groups of criminals and detectives, who use their supernatural abilities to wage war for control of Yokohama, results in the 88-day long ""Dragon's Head Dispute"". Osamu Dazai...","Japanese","Japan","N/A","https://m.media-amazon.com/images/M/MV5BM2JlNzdiMzQtYjg2YS00YTQzLWJiZGQtMzJiYmMyYjUwY2QwXkEyXkFqcGdeQXVyODg0MzQ5Nzk@._V1_SX300.jpg","N/A","7.0","358","tt8391976","movie","N/A","N/A","Screenvision Media","N/A","True",NULL
"Moonlit Winter","2019","N/A","14 Nov 2019","105 min","Drama, Romance","Dae Hyung Lim","N/A","Hee-ae Kim, Yûko Nakamura, So-hye Kim, Yoo-Bin Sung","Yoon-Hee lives with her teenage daughter Sae-Bom. On a winter day, Yoon-Hee receives a letter from Otaru, Japan. Sae-Bom accidentally reads the letter and learns about her mother's first love, which she never spoke about before.","N/A","N/A","N/A","https://m.media-amazon.com/images/M/MV5BMjliYmI1ODQtOTkyMC00NjhkLTkzZGEtOGNjOGNjODk5ZTZhXkEyXkFqcGdeQXVyMDM1MzY1Mg@@._V1_SX300.jpg","N/A","7.3","24","tt11311974","movie","N/A","N/A","N/A","N/A","True",NULL
"Black Money","2019","N/A","13 Nov 2019","113 min","Crime, Drama, Thriller","Ji-yeong Jeong","N/A","Jin-woong Cho, Lee Hanee, Kyeong-yeong Lee, Shin-il Kang","Prosecutor Yang Min-hyeok, who is known for being headstrong, ends up in a complicated situation because of a suspect who commits suicide. He faces the true nature of a huge financial ...","Korean","South Korea","N/A","https://m.media-amazon.com/images/M/MV5BNTQ5OWI0YjItNGRkZi00ZGQyLWFjMzgtNWM2NzUwMzM1N2RlXkEyXkFqcGdeQXVyNzY0OTI5Nzk@._V1_SX300.jpg","N/A","6.0","92","tt11238048","movie","N/A","N/A","N/A","N/A","True",NULL
"Cuddle Weather","2019","N/A","13 Sep 2019","95 min","Drama, Romance","Rod Marmol","Rod Marmol (screenplay)","Sue Ramirez, RK Bagatsing","After realizing that prostitutes are not entitled to the best part of love making, two sex workers form a screwy relationship as 'cuddle partners' only to realize that they want something more.","Tagalog, Filipino","Philippines","1 nomination.","https://m.media-amazon.com/images/M/MV5BNWEzZDc2OWMtZWM1MS00NzM2LWFlNjYtMzcwMGI2MDNkYTk0XkEyXkFqcGdeQXVyNTI5NjIyMw@@._V1_SX300.jpg","N/A","6.2","128","tt10896172","movie","N/A","N/A","N/A","N/A","True",NULL
"Dragon Quest: Your Story","2019","N/A","02 Aug 2019","103 min","Animation, Adventure, Family","Takashi Yamazaki","Yuji Horii (original story), Michael Schneider (adr writer)","Kasumi Arimura, Steve Blum, Shaun Conde, Jacob Craner","Based on the fifth Dragon Quest game.","Japanese","Japan","N/A","https://m.media-amazon.com/images/M/MV5BNDg2N2E3ZmEtZDdlNS00MmZiLTkzMTEtOTczYWZlMTg5MDJlXkEyXkFqcGdeQXVyMTAyNzc0MDkz._V1_SX300.jpg","N/A","6.6","1,477","tt10127562","movie","N/A","N/A","N/A","N/A","True",NULL
"Love for Sale 2","2019","N/A","31 Oct 2019","92 min","Drama","Andibachtiar Yusuf","Mohammad Irfan Ramly, Andibachtiar Yusuf","Della Dartyan, Adipati Dolken, Ratna Riantiarno, Ariyo Wahab","Tired of matchmaking by his mother, Ican bring a girl from dating application and introduced her to Ros. Their family became warmed thanks to Arini and Ican started likes her.","Indonesian","Indonesia","N/A","https://m.media-amazon.com/images/M/MV5BYzJjZmE1ZTgtYjJiNC00ZDdkLWEwMjEtNDQwYTJjYWIwMDdmXkEyXkFqcGdeQXVyNzEzNjU1NDg@._V1_SX300.jpg","N/A","N/A","N/A","tt10643938","movie","N/A","N/A","N/A","N/A","True",NULL
"Azali","2018","N/A","20 Feb 2020","92 min","Drama","Kwabena Gyansah","Kwabena Gyansah (story), Gwandelen Quartey","Ama K. Abebrese, Asana Alhassan, Adjetey Anang, Akofa Edjeani Asiedu","Thrust into Accra by circumstances, a 14 year old girl from Northern Ghana must endure life in the slums of Accra and find a way to get back home","Akan","Ghana","N/A","https://m.media-amazon.com/images/M/MV5BODZkMWMzZTUtOTE3Ni00MTg0LWJiNTYtM2MyOTg5YWI5MTQ0XkEyXkFqcGdeQXVyODYwODIzNTY@._V1_SX300.jpg","N/A","5.8","30","tt8630282","movie","N/A","N/A","N/A","N/A","True",NULL
"Ruh ikizi/Soul Mate","2016","N/A","28 Mar 2016","N/A","Short, Drama","Mustafa Nuri","Mustafa Nuri","Turgay Aydin, Ece Dizdar, Macit Koper, Ozan Çelik","N/A","Turkish","Turkey","N/A","N/A","N/A","N/A","N/A","tt5587360","movie","N/A","N/A","N/A","N/A","True",NULL
"Intention","2018","N/A","12 Apr 2018","N/A","Documentary","Ji-young Kim","Ji-young Kim","Woo-sung Jung","A documentary that scientifically analyses and tracks down the route of the Sewol Ferry that sank on the 16th of April in 2014 using its AIS to discover the cause of the unconfirmed sinking.","Korean","South Korea","N/A","https://m.media-amazon.com/images/M/MV5BZTBkNmJmMjMtYzdhOC00ZGEyLTllZmEtZTIzOGRmYjQwNGVhXkEyXkFqcGdeQXVyNzQzNDM3NTI@._V1_SX300.jpg","N/A","8.0","49","tt8443326","movie","N/A","N/A","N/A","N/A","True",NULL
"More Than Blue","2018","N/A","30 Nov 2018","105 min","Romance","Gavin Lin","Hermes Lu, Gavin Lin","Ivy Yi-Han Chen, Jasper Liu, Bryan Shu-Hao Chang, Annie Chen","A terminally ill man sets up his best friend, whom he has loved since high school, so that she will not be lonely after he passes away.","Mandarin","Taiwan","3 nominations.","https://m.media-amazon.com/images/M/MV5BYTJhMzM2MmEtYzIwNC00NTMxLTkzZmQtOTBjNTJiNzJlYTc5XkEyXkFqcGdeQXVyMjg0MTI5NzQ@._V1_SX300.jpg","N/A","6.0","767","tt9081562","movie","N/A","N/A","Asia Releasing","N/A","True",NULL
"Fourth Place","2015","N/A","13 Apr 2016","116 min","Drama, Sport","Ji-woo Jung","N/A","Ga-ram Jung, Hang-na Lee, Hae-Joon Park, Jae-Sang Yoo","A former Asian Games record breaker and Olympic tryout, Kim Gwang-su, endures beatings, abuse, and constant ridicule from his swimming coach. To justify this abusive behavior, his coach ...","Korean","South Korea","2 wins & 2 nominations.","https://m.media-amazon.com/images/M/MV5BMGZjM2M1MTItMjZiZi00NmRiLTg2YmYtN2VjNWJlZjhjOGFlXkEyXkFqcGdeQXVyNDY5NjU5MDE@._V1_SX300.jpg","N/A","7.4","34","tt5633396","movie","N/A","N/A","N/A","N/A","True",NULL
"Porco Rosso","1992","PG","16 Dec 1994","94 min","Animation, Adventure, Comedy, Fantasy, Romance","Hayao Miyazaki","Hayao Miyazaki","Shûichirô Moriyama, Tokiko Katô, Bunshi Katsura Vi, Tsunehiko Kamijô","In 1930s Italy, a veteran World War I pilot is cursed to look like an anthropomorphic pig.","Japanese","Japan","3 wins.","https://m.media-amazon.com/images/M/MV5BZDIyOTBiZjktYTE0NS00ZGE2LWEzM2YtMzM0MWI2YzIzMGM2L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg","83","7.7","68,754","tt0104652","movie","22 Feb 2005","N/A","N/A","N/A","True",NULL
"Only Yesterday","1991","PG","26 Feb 2016","118 min","Animation, Drama, Romance","Isao Takahata","Hotaru Okamoto (manga), Yuuko Tone (manga), David Freedman (english adaptation), Isao Takahata (screenplay)","Miki Imai, Toshirô Yanagiba, Yoko Honna, Mayumi Izuka","A twenty-seven-year-old office worker travels to the countryside while reminiscing about her childhood in Tokyo.","Japanese, Hungarian","Japan","1 win & 8 nominations.","https://m.media-amazon.com/images/M/MV5BMTY5NjI2MjQxMl5BMl5BanBnXkFtZTgwMDA2MzM2NzE@._V1_SX300.jpg","90","7.7","22,517","tt0102587","movie","05 Jul 2016","$415,939","GKIDS","N/A","True",NULL
"Hear Me","2009","N/A","28 Aug 2009","109 min","Drama, Romance","Fen-fen Cheng","Fen-fen Cheng","Eddie Peng, Ivy Yi-Han Chen, Michelle Chen, Mei-Hsiu Lin","A delivery Boy falls for a young girl who is hearing impaired. Comparing themselves with ""water birds"" and trees, together they are going to break the barrier and pursue their dreams and take their relationship to the next level.","Sign Languages, Chinese","Taiwan","2 wins & 2 nominations.","https://m.media-amazon.com/images/M/MV5BYzY5MGUxMGUtNzE5Ny00NGEyLWIwYzUtM2ZmODdkNDY2ODhkXkEyXkFqcGdeQXVyMjg0MTI5NzQ@._V1_SX300.jpg","N/A","7.5","2,470","tt1562328","movie","N/A","N/A","N/A","N/A","True",NULL
"Ocean Waves","1993","PG-13","13 Jul 1994","76 min","Animation, Drama, Romance","Tomomi Mochizuki","Saeko Himuro (novel), Keiko Niwa (screenplay)","Nobuo Tobita, Toshihiko Seki, Yoko Sakamoto, Yuri Amano","As a young man returns home after his first year away at college he recalls his senior year of high school and the iron-willed, big city girl that turned his world upside down.","Japanese","Japan","N/A","https://m.media-amazon.com/images/M/MV5BNDkzODhjMTktOTkwZS00MGQ3LTg4MGUtMDA5NWI2Y2ZiMzhjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg","73","6.7","10,258","tt0108432","movie","18 Apr 2017","N/A","GKIDS","N/A","True",NULL
"Tales from Earthsea","2006","PG-13","29 Jul 2006","115 min","Animation, Adventure, Fantasy","Gorô Miyazaki","Ursula K. Le Guin (novel), Gorô Miyazaki (screenplay), Keiko Niwa (screenplay), Hayao Miyazaki (concept)","Jun'ichi Okada, Aoi Teshima, Bunta Sugawara, Yûko Tanaka","In a mythical land, a man and a young boy investigate a series of unusual occurrences.","Japanese, English","Japan","3 nominations.","https://m.media-amazon.com/images/M/MV5BYjM3MzQ0YzEtMzY3My00YjhlLThjYWQtNjY5ZTYwYWRkNjhjL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg","47","6.5","31,442","tt0495596","movie","01 Jan 1998","N/A","N/A","N/A","True",NULL
"Kiki's Delivery Service","1989","G","20 Dec 1990","103 min","Animation, Adventure, Drama, Family, Fantasy","Hayao Miyazaki","Eiko Kadono (novel), Hayao Miyazaki (screenplay)","Minami Takayama, Rei Sakuma, Kappei Yamaguchi, Keiko Toda","A young witch, on her mandatory year of independent life, finds fitting into a new community difficult while she supports herself by running an air courier service.","Japanese, English","Japan","4 wins.","https://m.media-amazon.com/images/M/MV5BOTc0ODM1Njk1NF5BMl5BanBnXkFtZTcwMDI5OTEyNw@@._V1_SX300.jpg","83","7.9","109,278","tt0097814","movie","08 May 2007","N/A","N/A","N/A","True",NULL
"Castle in the Sky","1986","PG","02 Aug 1986","125 min","Animation, Adventure, Drama, Family, Fantasy, Sci-Fi","Hayao Miyazaki","Hayao Miyazaki","Mayumi Tanaka, Keiko Yokozawa, Kotoe Hatsui, Minori Terada","A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.","Japanese","Japan","1 win.","https://m.media-amazon.com/images/M/MV5BODI1YmNiMmEtYTRlMy00YmE1LWFiMzgtMmIyZjc2NDU0OTYzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg","78","8.0","139,800","tt0092067","movie","15 Apr 2003","N/A","Tokuma Shoten","N/A","True",NULL
"Glass","2019","PG-13","18 Jan 2019","129 min","Drama, Sci-Fi, Thriller","M. Night Shyamalan","M. Night Shyamalan","James McAvoy, Bruce Willis, Samuel L. Jackson, Anya Taylor-Joy","Security guard David Dunn uses his supernatural abilities to track Kevin Wendell Crumb, a disturbed man who has twenty-four personalities.","English, Spanish","USA, China","2 wins & 14 nominations.","https://m.media-amazon.com/images/M/MV5BMTY1OTA2MjI5OV5BMl5BanBnXkFtZTgwNzkxMjU4NjM@._V1_SX300.jpg","43","6.7","186,189","tt6823368","movie","N/A","N/A","N/A","N/A","True",NULL
"Fall In Love At First Kiss","2019","N/A","14 Feb 2019","122 min","Comedy, Romance","Yu Shan Chen","Kaoru Tada (manga), Yung-Ting Tseng (screenplay), Yu Shan Chen (screenplay), Chi-Jou Huang (screenplay)","Talu Wang, Yun Lin, Kenji Chen, Cecilia Choi","Adapted from Japanese manga series ""Itazura na Kiss"", about a teen girl who falls in love with her fellow senior since their first day of high school.","Mandarin","Taiwan, China","1 nomination.","https://m.media-amazon.com/images/M/MV5BNGUyMGM4ZWItMWJiNC00YmNlLTgwYzgtNzAyMDY0YzNlMDM4XkEyXkFqcGdeQXVyNjgwNTk4Mg@@._V1_SX300.jpg","N/A","5.9","342","tt9657764","movie","N/A","N/A","Asia Releasing","N/A","True",NULL
"A Sun","2019","N/A","01 Nov 2019","156 min","Crime, Drama","Mong-Hong Chung","Yaosheng Chang (screenplay), Mong-Hong Chung (screenplay)","Chien-Ho Wu, Yi-wen Chen, Samantha Shu-Chin Ko, Kuan-Ting Liu","A family of four fractures under the weight of unmet expectations, unexpected tragedy, and uncompromising pride.","Mandarin","Taiwan","6 wins & 18 nominations.","https://m.media-amazon.com/images/M/MV5BNjliMGExMTQtYTQ1NS00MGQyLWJlMDgtZjJlMzI4N2Q5NzQ2XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg","N/A","7.7","1,237","tt10883506","movie","N/A","N/A","N/A","N/A","True",NULL
"Curtiz","2018","TV-MA","12 Sep 2019","98 min","Biography, Drama, History","Tamas Yvan Topolanszky","Tamas Yvan Topolanszky, Zsuzsanna Bak, Ward Parry (dialogue), Ward Parry (story editor)","Lili Bordán, Evelin Dobos, Nikolett Barabas, Björn Freiberg","As America prepares to enter WW2, Hungarian film director Michael Curtiz grapples with political intervention and a dysfunctional relationship with his estranged daughter amid the troubled production of Casablanca in 1942.","English, Hungarian","Hungary","4 wins & 5 nominations.","https://m.media-amazon.com/images/M/MV5BM2E3MWEyNTYtMjg3ZS00ODgzLWJjMDItMzBkMWMyMDQ1ZmQwXkEyXkFqcGdeQXVyMzM5Njg4Mjc@._V1_SX300.jpg","N/A","6.1","460","tt6774588","movie","N/A","N/A","N/A","N/A","True",NULL
"Giri/Haji","2019–","N/A","17 Oct 2019","N/A","Crime, Drama, Mystery, Thriller","N/A","N/A","Takehiro Hira, Sophia Brown, Charlie Creed-Miles, Jamie Draven","A detective from Tokyo scours London for his missing brother, who's been involved with the Yakuza and accused of murder.","English, Japanese","UK","N/A","https://m.media-amazon.com/images/M/MV5BOTgxODE5YjMtMjE2OC00YTU5LWFmNTgtZTc5ZjRkNGM4ZGJmXkEyXkFqcGdeQXVyNjQ0MDQxOTM@._V1_SX300.jpg","N/A","7.9","4,663","tt8001106","series",NULL,NULL,NULL,NULL,"True","1"
"A Love to Last","2017–","N/A","09 Jan 2017","N/A","Drama, Family, Romance","N/A","N/A","Bea Alonzo, Julia Barretto, Enchong Dee, Juan Karlos Labajo","The story follows two different people, Andeng (Bea Alonzo), and Anton (Ian Veneracion), that will prove that two brokenhearts can make their love last or not.","English, Tagalog","Philippines","N/A","https://m.media-amazon.com/images/M/MV5BYWQwYjQ5NzEtMGE4OS00ZTZiLTk1MjAtNzYyMjZjOWY4OTRkXkEyXkFqcGdeQXVyNTI5NjIyMw@@._V1_SX300.jpg","N/A","N/A","N/A","tt6803718","series",NULL,NULL,NULL,NULL,"True","2"
"Spider-Man: Far from Home","2019","PG-13","02 Jul 2019","129 min","Action, Adventure, Sci-Fi","Jon Watts","Chris McKenna, Erik Sommers, Stan Lee (based on the Marvel comic book by), Steve Ditko (based on the Marvel comic book by)","Tom Holland, Samuel L. Jackson, Jake Gyllenhaal, Marisa Tomei","Following the events of Avengers: Endgame (2019), Spider-Man must step up to take on new threats in a world that has changed forever.","English, Italian, Czech","USA","9 wins & 22 nominations.","https://m.media-amazon.com/images/M/MV5BMGZlNTY1ZWUtYTMzNC00ZjUyLWE0MjQtMTMxN2E3ODYxMWVmXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg","69","7.5","279,844","tt6320628","movie","17 Sep 2019","N/A","Sony Pictures","N/A","True",NULL
"Save Me","2017–2019","TV-14","05 Aug 2017","60 min","Mystery, Thriller","N/A","N/A","Jae-yoon Jo, Ho-jin Chun, Tae-goo Eom, Esom","A young girl coming to a small town with her family. And through tragic events getting involved with a religious cult.","Korean","South Korea","3 nominations.","https://m.media-amazon.com/images/M/MV5BNjZjOTU0MjctYThhMS00MzE0LWEzOTAtZTFkN2Q3ZmNmODcwXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg","N/A","7.9","314","tt7020532","series",NULL,NULL,NULL,NULL,"True","1"
"Us","2019","R","22 Mar 2019","116 min","Horror, Mystery, Thriller","Jordan Peele","Jordan Peele","Lupita Nyong'o, Winston Duke, Elisabeth Moss, Tim Heidecker","A family's serene beach vacation turns to chaos when their doppelgängers appear and begin to terrorize them.","English","USA, China, Japan","72 wins & 104 nominations.","https://m.media-amazon.com/images/M/MV5BZTliNWJhM2YtNDc1MC00YTk1LWE2MGYtZmE4M2Y5ODdlNzQzXkEyXkFqcGdeQXVyMzY0MTE3NzU@._V1_SX300.jpg","81","6.9","194,422","tt6857112","movie","18 Jun 2019","N/A","Universal Pictures","N/A","True",NULL
"Rainbow Ruby","2016–","N/A","23 Apr 2016","11 min","Animation, Comedy, Family, Fantasy","N/A","N/A","Johnny Yong Bosch, Shannon Chan-Kent, Brian Drummond, Kate Higgins","Rainbow Ruby comes to the rescue whenever a doll friend needs help! When Choco's heart starts to glow, she knows it's time for a magical journey into Rainbow Village. With the help of her ...","N/A","South Korea, Canada, USA, China","N/A","https://m.media-amazon.com/images/M/MV5BNTM2ZjIxMmEtOGM1ZC00Y2U4LTk1NTQtMmFjMDBjMjlmMjk3XkEyXkFqcGdeQXVyNzMzMjU5NDY@._V1_SX300.jpg","N/A","6.1","31","tt5828144","series",NULL,NULL,NULL,NULL,"True","N/A"
"Hot Gimmick: Girl Meets Boy","2019","N/A","28 Jun 2019","119 min","Drama","Yûki Yamato","Miki Aihara, Yûki Yamato","Miona Hori, Mizuki Itagaki, Kaisei Kamimura, Shôtarô Mamiya","Hatsumi and her family live normal lives until she is used by Ryoki who begins to bully and intimidate her. Azusa is a friend in the area and also good looking. He has the hots for Hatsumi ...","Japanese","Japan","1 nomination.","https://m.media-amazon.com/images/M/MV5BMmMzMTk2ZWUtODUzYS00MTcxLTgzOGYtZGNlNzRhMjM1MTQ2XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg","N/A","4.6","134","tt10061256","movie","N/A","N/A","N/A","N/A","True",NULL
"The Gift","2019","N/A","11 Jan 2019","86 min","Romance","Onat Diaz","Keiko Aquino","Nash Aguas, Sharlene San Pedro, Maricar Reyes, Precious Lara Quigaman","A young man with Asperger's Syndrome falls in love with a sheltered young woman who suffers from Mitral Valve Stenosis, a congenital heart condition. Will his condition cause her demise or ...","Filipino, English","Philippines","N/A","https://m.media-amazon.com/images/M/MV5BYWI4ZTRmOTgtODVkMy00MTc2LTgzZTgtNTZmNTI1OWU0Zjg0XkEyXkFqcGdeQXVyNTI5NjIyMw@@._V1_SX300.jpg","N/A","7.0","10","tt9574444","movie","N/A","N/A","N/A","N/A","True",NULL
"My Stupid Boss","2016","N/A","19 May 2016","108 min","Comedy","Upi Avianto","Upi Avianto","Bunga Citra Lestari, Reza Rahadian, Alex Abbad, Bront Palarae","Diana ""Bunga Citra Lestari"" move to her husband work place in malaysia. She is thingking why she not work too so they can have more money. After that, Diana work in a place that own by bossman that really funny of his act.","Indonesian, Malay, English","Indonesia","1 win.","https://m.media-amazon.com/images/M/MV5BMzk1YzRkNmMtMTEzMC00MzhiLThhMWQtNzE2YzgzYWVmYzZhXkEyXkFqcGdeQXVyNjIwMTgzMTg@._V1_SX300.jpg","N/A","7.3","1,044","tt5514296","movie","N/A","N/A","N/A","N/A","True",NULL
"My Stupid Boss 2","2019","N/A","28 Mar 2019","96 min","Comedy, Drama","Upi Avianto","Upi Avianto (script writer)","Reza Rahadian, Bunga Citra Lestari, Kin Wah Chew, Atikah Suhaime","Bossman and his employees goes to Vietnam to find new workers for his company, but instead of getting new workers they got a lot of new troubles.","Indonesian, Malay, English, Vietnamese","Indonesia","N/A","https://m.media-amazon.com/images/M/MV5BNzlmNGM1MzAtOGY5Ny00NTI3LTgzNjEtYmViODcwMGQxNWNiXkEyXkFqcGdeQXVyNzY4NDQzNTg@._V1_SX300.jpg","N/A","6.8","165","tt10039468","movie","N/A","N/A","N/A","N/A","True",NULL
"The Set Up","2019","N/A","09 Aug 2019","103 min","Crime, Drama","Niyi Akinmolayan","Chinaza Onuzo","Dakore Akande, Kehinde Bankole, Adesua Etomi, Jim Iyke","A former drug smuggler and a confidence artist gets more than she bargains for when she is hired by a down on his luck businessman to assist with his scheme to marry a wealthy heiress. ...","English","Nigeria","N/A","https://m.media-amazon.com/images/M/MV5BYzQwZDhkYjQtZjNiNy00YTYzLTk1YTktNTQ4YTI4YTU2YTQ5XkEyXkFqcGdeQXVyNTMzODgyMDQ@._V1_SX300.jpg","N/A","N/A","N/A","tt10397734","movie","N/A","N/A","N/A","N/A","True",NULL
"Loverboy","2011","N/A","07 Oct 2011","99 min","Drama, Thriller","Cãtãlin Mitulescu","Cãtãlin Mitulescu, Bogdan Mustata, Bianca Oana","George Pistereanu, Ada Condeescu, Ion Besoiu, Clara Voda","A young man seduces poor girls in order to pass them to a prostitution ring.","Romanian","Romania, Sweden, Serbia","1 win & 8 nominations.","https://m.media-amazon.com/images/M/MV5BODM3NDZlNDMtMWVjZC00Y2FkLWJlZWYtZjFlNTNkMjZhODUxXkEyXkFqcGdeQXVyMjQ2MTk1OTE@._V1_SX300.jpg","N/A","6.2","1,605","tt1895466","movie","N/A","N/A","Strada Film","N/A","True",NULL
"Bittersweet","2010","N/A","N/A","7 min","Documentary, Short, News","Jan Kohler, Debi Lang","Zoltan Bojan Várkonyi","N/A","In 2008, fifteen year old Discovery School student, Jan Kohler, volunteered as a translator for the humanitarian organization Cape CARES in the rural Honduran village of San Marcos. During ...","English","USA, Honduras","N/A","N/A","N/A","N/A","N/A","tt1668053","movie","N/A","N/A","N/A","N/A","True",NULL
"The Promise","2008","N/A","07 Dec 2008","N/A","Action, Drama, Romance","Mohamed Yassin","Wahid Hamid","Asser Yassin, Mahmoud Yassine, Ruby, Ghassan Massoud","N/A","Arabic","Egypt","N/A","https://m.media-amazon.com/images/M/MV5BYmNhM2Y2NGYtM2UzMy00YjU3LWI5NWQtNWQ0YjcxMDE0YjdmXkEyXkFqcGdeQXVyNDM5MzQ2NzU@._V1_SX300.jpg","N/A","5.7","136","tt1795681","movie","N/A","N/A","N/A","N/A","True",NULL
"Ryna","2005","N/A","24 Nov 2006","94 min","Drama","Ruxandra Zenide","Marek Epstein, Andreea Valean (dialogue adaptation), Ruxandra Zenide","Dorotheea Petre, Valentin Popescu, Matthieu Rozé, Nicolae Praida","In a small community in the Danube Delta that wavers between old traditions and new material aspirations, a teenager, Ryna, pays a heavy price in a search of her own identity.","French, Romanian","Switzerland, Romania","15 wins & 14 nominations.","https://m.media-amazon.com/images/M/MV5BMTIzNjUxODY1N15BMl5BanBnXkFtZTcwOTQ0MjMzMQ@@._V1_SX300.jpg","N/A","7.0","422","tt0449642","movie","N/A","N/A","N/A","N/A","True",NULL
"The Way I Spent the End of the World","2006","N/A","30 Aug 2006","106 min","Drama","Cãtãlin Mitulescu","Cãtãlin Mitulescu, Andreea Valean, Veronick Codolban Kazansky (french adaptation)","Dorotheea Petre, Timotei Duma, Anca Ahrfrescu, Ioan Albu","In communist era Romania, people live with hope for a new life of freedom.","Romanian","Romania, France","7 wins & 7 nominations.","https://m.media-amazon.com/images/M/MV5BMTgyOTY5NzU5MF5BMl5BanBnXkFtZTcwMTczNDAzNA@@._V1_SX300.jpg","N/A","7.3","2,712","tt0799991","movie","04 Dec 2007","N/A","Pyramide Distribution","N/A","True",NULL
